CodeCirco,Département,NumeroCirco,Circonscription,Inscrits,Abstentions,Abstentions_ins,Votants,Votants_ins,Blancs,Blancs_ins,Blancs_vot,Nuls,Nuls_ins,Nuls_vot,Exprimés,Exprimés_ins,Exprimés_vot,LE PEN,MACRON,MÉLENCHON,FILLON,LASSALLE,HAMON,DUPONT-AIGNAN,POUTOU,ASSELINEAU,ARTHAUD,CHEMINADE,LE PEN.ins,MACRON.ins,MÉLENCHON.ins,FILLON.ins,LASSALLE.ins,HAMON.ins,DUPONT-AIGNAN.ins,POUTOU.ins,ASSELINEAU.ins,ARTHAUD.ins,CHEMINADE.ins,LE PEN.exp,MACRON.exp,MÉLENCHON.exp,FILLON.exp,LASSALLE.exp,HAMON.exp,DUPONT-AIGNAN.exp,POUTOU.exp,ASSELINEAU.exp,ARTHAUD.exp,CHEMINADE.exp
7702,Seine-et-Marne,02,2ème circonscription,79697,15765,19.7811711858665,63932,80.2188288141335,981,1.23091207950111,1.53444284552337,382,0.479315407104408,0.597509854220109,62569,78.508601327528,97.8680473002565,13232,14689,10680,14645,495,3518,3582,580,665,356,127,16.6028834209569,18.4310576307766,13.4007553609295,18.3758485262933,0.62110242543634,4.41421885390918,4.49452300588479,0.727756377278944,0.834410329121548,0.446691845364317,0.159353551576596,21.1478527705413,23.4764819639118,17.06915565216,23.4061595998018,0.791126596237754,5.62259265770589,5.72487973277502,0.926976617813933,1.06282663939011,0.568971855072001,0.202975914590292
7703,Seine-et-Marne,03,3ème circonscription,75449,14898,19.7457885459052,60551,80.2542114540948,1169,1.54939097933704,1.93060395369193,322,0.426778353589842,0.531783124969034,59060,78.278042121168,97.537612921339,15273,12042,12390,9983,445,3483,3767,555,704,320,98,20.2428130260176,15.9604501053692,16.4216888229135,13.2314543598987,0.589802383066707,4.61636337128391,4.9927765775557,0.735596230566343,0.933080623997667,0.424127556362576,0.129889064136039,25.8601422282425,20.3894344734169,20.9786657636302,16.9031493396546,0.753471046393498,5.89739248222147,6.37825939722316,0.93972231628852,1.19200812732814,0.541821876058246,0.165932949542838
7704,Seine-et-Marne,04,4ème circonscription,87907,17333,19.7174286461829,70574,80.2825713538171,1321,1.50272447017871,1.87179414515261,496,0.564232654964906,0.702808399693938,68757,78.2156142286735,97.4253974551534,22480,11888,11727,12780,608,2956,4415,680,656,435,132,25.5724800072804,13.5233826657718,13.3402345660755,14.5380913920393,0.691640028666659,3.36264461305698,5.02235316868964,0.7735447689035,0.746243188824553,0.494841138930916,0.150158690434209,32.694852887706,17.2898759399043,17.0557179632619,18.5871983943453,0.884273601233329,4.29919862704888,6.42116439053478,0.988990211905697,0.954084675014908,0.632662856145556,0.191980452899341
7705,Seine-et-Marne,05,5ème circonscription,84928,16778,19.755557648832,68150,80.2444423511681,1240,1.46006028636021,1.81951577402788,461,0.542812735493595,0.676449009537784,66449,78.2415693293143,97.5040352164343,17511,14272,12264,12464,562,3130,4348,594,801,367,136,20.6186416729465,16.8048229088169,14.4404672192916,14.6759608138659,0.661737000753579,3.68547475508666,5.11963074604371,0.699415975885456,0.943151846269781,0.432130746043708,0.160135644310475,26.3525410465169,21.4781260816566,18.4562596878809,18.7572423964243,0.845761411006938,4.71037938870412,6.54336408373339,0.893918644373881,1.20543574771629,0.552303270177128,0.204668241809508
7706,Seine-et-Marne,06,6ème circonscription,78045,16202,20.759818053687,61843,79.240181946313,1163,1.49016592991223,1.88056853645522,460,0.589403549234416,0.743819025597077,60220,77.1606124671664,97.3756124379477,16584,12504,12682,9399,461,3142,3723,583,690,353,99,21.2492792619643,16.0215260426677,16.2495995899801,12.0430520853354,0.590684861297969,4.02588250368377,4.77032481260811,0.747004933051445,0.884105323851624,0.452303158434237,0.126849894291755,27.5390235802059,20.7638658253072,21.0594486881435,15.6077715044836,0.76552640318831,5.21753570242444,6.18233145134507,0.96811690468283,1.14579873796081,0.586183992029226,0.16439721022916
7707,Seine-et-Marne,07,7ème circonscription,85317,16976,19.8975585170599,68341,80.1024414829401,1238,1.45105899176014,1.81150407515254,423,0.495798023840501,0.618954946518196,66680,78.1555844673395,97.5695409783293,16232,14820,14754,11177,454,3480,3852,569,864,360,118,19.0255166027873,17.3705123246246,17.2931537677134,13.1005544029912,0.532133103601861,4.07890572804951,4.51492668518584,0.666924528523038,1.01269383592953,0.421955764970639,0.138307722962598,24.3431313737253,22.2255548890222,22.126574685063,16.7621475704859,0.680863827234553,5.21895620875825,5.77684463107379,0.853329334133173,1.29574085182963,0.539892021595681,0.176964607078584
7708,Seine-et-Marne,08,8ème circonscription,89117,17689,19.8491870238002,71428,80.1508129761998,1317,1.47783251231527,1.843814750518,425,0.476901152417608,0.59500476003808,69686,78.196079311467,97.5611804894439,11528,19772,14748,12939,518,4527,3791,622,796,313,132,12.9358034942828,22.1865637308258,16.5490310490703,14.5191153203093,0.581258345770167,5.0798388635165,4.25395827956507,0.697958863067653,0.893207805469215,0.351223672251086,0.148119887339116,16.5427776023879,28.3729874006257,21.1635048646787,18.5675745486898,0.743334385672875,6.49628332807164,5.44011709669087,0.892575266194071,1.14226673937376,0.449157650030135,0.189421117584594
7709,Seine-et-Marne,09,9ème circonscription,85704,18307,21.3607299542612,67397,78.6392700457388,1192,1.39083356669467,1.76862471623366,346,0.403715112480164,0.513375966289301,65859,76.844721366564,97.7179993174771,13905,16269,13077,11770,466,3723,4846,569,763,349,122,16.224446933632,18.982777933352,15.25833099972,13.7333146644264,0.543731914496406,4.34402128255391,5.65434518808924,0.663913002893681,0.890273499486605,0.40721553253057,0.142350415383179,21.1132874777935,24.7027741083223,19.8560561198925,17.8715133846551,0.707572237659242,5.65298592447502,7.3581439135122,0.863966959716971,1.15853565951502,0.529919980564539,0.185244233893621
7710,Seine-et-Marne,10,10ème circonscription,79711,17948,22.5163402792588,61763,77.4836597207412,1165,1.46152977631694,1.8862425724139,452,0.567048462571038,0.731829736249858,60146,75.4550814818532,97.3819276913362,9539,16168,15702,9138,438,4438,2799,574,932,311,107,11.9669807178432,20.2832733248861,19.6986614143594,11.4639133871109,0.549485014615298,5.56761300196962,3.51143505915118,0.720101366185345,1.16922382105356,0.390159451016798,0.134234923661728,15.8597412961793,26.8812556113457,26.1064742460014,15.1930302929538,0.728227978585442,7.37871180128354,4.653676054933,0.954344428557178,1.54956273068866,0.517075117214777,0.177900442257174
7711,Seine-et-Marne,11,11ème circonscription,64792,14120,21.7928139276454,50672,78.2071860723546,1359,2.09748117051488,2.68195453110199,177,0.27318187430547,0.349305336280392,49136,75.8365230275343,96.9687401326176,8969,12351,13172,5966,341,3475,3293,533,709,247,80,13.8427583652303,19.0625385850105,20.3296703296703,9.20792690455612,0.526299543153476,5.36331645882208,5.08241758241758,0.822632423756019,1.09427089764168,0.381219903691814,0.123472033584393,18.2534190817323,25.1363562357538,26.8072289156627,12.141810485184,0.69399218495604,7.07220774991859,6.70180722891566,1.08474438293715,1.44293389775317,0.50268642136112,0.162813415825464
