"CodeCirco","Département","NumeroCirco","Circonscription","Inscrits","Abstentions","Abstentions_ins","Votants","Votants_ins","Blancs","Blancs_ins","Blancs_vot","Nuls","Nuls_ins","Nuls_vot","Exprimés","Exprimés_ins","Exprimés_vot","ARTHAUD","ROUSSEL","MACRON","LASSALLE","LE PEN","ZEMMOUR","MÉLENCHON","HIDALGO","JADOT","PÉCRESSE","POUTOU","DUPONT-AIGNAN","ARTHAUD.ins","ROUSSEL.ins","MACRON.ins","LASSALLE.ins","LE PEN.ins","ZEMMOUR.ins","MÉLENCHON.ins","HIDALGO.ins","JADOT.ins","PÉCRESSE.ins","POUTOU.ins","DUPONT-AIGNAN.ins","ARTHAUD.exp","ROUSSEL.exp","MACRON.exp","LASSALLE.exp","LE PEN.exp","ZEMMOUR.exp","MÉLENCHON.exp","HIDALGO.exp","JADOT.exp","PÉCRESSE.exp","POUTOU.exp","DUPONT-AIGNAN.exp"
"0301","Allier","01","1ère circonscription",89192,20596,23.09175710826083,68596,76.90824289173916,1319,1.4788321822584984,1.9228526444690652,611,0.685039016952193,0.8907224911073532,66666,74.74437169252847,97.18642486442359,528,3498,17748,2739,18198,4143,10848,1227,2075,3702,533,1427,0.5919813436182617,3.921876401470984,19.898645618441115,3.0709032200197326,20.403175172661225,4.645035429186474,12.162525787066105,1.3756839178401652,2.3264418333482824,4.150596466050767,0.5975872275540407,1.5999192752713247,0.7920079200792008,5.2470524705247055,26.622266222662226,4.108541085410854,27.297272972729726,6.214562145621456,16.272162721627218,1.840518405184052,3.112531125311253,5.553055530555306,0.7995079950799507,2.140521405214052
"0302","Allier","02","2ème circonscription",80780,19459,24.088883386976974,61321,75.91111661302303,1210,1.4978955186927456,1.9732228763392639,646,0.799702896756623,1.0534727091860863,59465,73.61351819757365,96.97330441447465,446,2704,14879,2512,16372,3633,11073,1089,1778,3165,523,1291,0.5521168606090617,3.3473632087150285,18.419163159197822,3.10968061401337,20.267392919039366,4.49740034662045,13.70760089130973,1.3481059668234712,2.20103986135182,3.9180490220351576,0.6474374845258727,1.5981678633325078,0.7500210207685193,4.547212646094341,25.02144118388968,4.224333641637938,27.532161775834524,6.109476162448499,18.62103758513411,1.8313293534011603,2.9899941141848148,5.3224585890860165,0.8795089548473892,2.171024972673001
"0303","Allier","03","3ème circonscription",80018,18446,23.052313229523357,61572,76.94768677047664,1218,1.5221575145592243,1.9781718963165076,535,0.668599565097853,0.8689014487104528,59819,74.75692969081956,97.15292665497304,385,1917,17077,2529,15744,4585,9092,964,2129,3452,447,1498,0.4811417431078008,2.3957109650328676,21.341448174160814,3.160538878752281,19.675572996075882,5.729960758829264,11.362443450223699,1.2047289359894024,2.6606513534454748,4.314029343397736,0.5586243095303557,1.8720787822739882,0.6436082181246761,3.2046674133636466,28.547785820558687,4.2277537237332625,26.319396847155584,7.6647887794847795,15.199184205687155,1.6115281097978902,3.559069860746585,5.770741737575018,0.747254216887611,2.504221066885103
"0401","Alpes-de-Haute-Provence","01","1ère circonscription",61691,13749,22.286881392747727,47942,77.71311860725227,669,1.0844369519054642,1.3954361520170206,338,0.5478919129208474,0.7050185640982854,46935,76.08078974242596,97.89954528388469,275,1374,9701,2160,13257,4019,10223,712,1783,1787,439,1205,0.4457700474947724,2.2272292554829716,15.725146293624679,3.5013211003225755,21.489358253229806,6.514726621387236,16.571298892869297,1.1541391775137377,2.890210889757015,2.8966948177205754,0.7116110940007456,1.9532832990225477,0.5859166932992437,2.927452860338766,20.669010333439864,4.6021093000958775,28.245445829338443,8.562906146798763,21.7811867476297,1.516991584105678,3.7988707787365503,3.807393203366358,0.935336103121338,2.567380419729413
"0402","Alpes-de-Haute-Provence","02","2ème circonscription",66383,15540,23.409607881535933,50843,76.59039211846407,773,1.1644547549824504,1.5203666188069154,323,0.4865703568684754,0.6352890270047007,49747,74.93936700661314,97.84434435418838,230,1347,11099,2149,12753,3906,11633,684,2174,2047,426,1299,0.34647424792492054,2.029133965021165,16.719642077037797,3.237274603437627,19.21124384255005,5.8840365756293025,17.524064896133044,1.030384285133242,3.2749348477772924,3.0836208065317927,0.6417305635478963,1.9568262958890077,0.4623394375540234,2.707700966892476,22.310893119183067,4.319858483928679,25.63571672663678,7.851729752547892,23.384324682895453,1.374957283856313,4.370112770619334,4.114820994230808,0.8563330452087563,2.611212736446419
"0501","Hautes-Alpes","01","1ère circonscription",59486,13601,22.864203341962817,45885,77.13579665803718,704,1.1834717412500422,1.5342704587555847,314,0.5278552936825472,0.6843194943881443,44867,75.4244696231046,97.78141004685628,234,1035,10511,1822,10894,3367,9801,809,2414,2439,394,1147,0.39336986854049694,1.7399051877752747,17.669703795851124,3.062905557610194,18.31355276871869,5.660155330666039,16.47614564771543,1.359983861748983,4.058097703661366,4.100124399018256,0.6623407188245974,1.928184782974145,0.521541444714378,2.3068179285443646,23.427017629883878,4.0608910780752,24.28065170392493,7.504401898945773,21.844562818998373,1.8031069605723582,5.380346357010721,5.436066596830632,0.878150979561816,2.556444602937571
"0502","Hautes-Alpes","02","2ème circonscription",54033,11756,21.757074380471195,42277,78.2429256195288,661,1.223326485666167,1.5634978830096742,248,0.45897877223178424,0.5866073751685313,41368,76.56062036163085,97.8498947418218,194,890,9996,2049,8802,2797,9917,650,2599,2072,407,995,0.3590398460200248,1.647141561638258,18.499805674310142,3.79212703347954,16.290044972516796,5.176466233597987,18.35359872670405,1.2029685562526604,4.810023504154868,3.834693613162327,0.7532433882997428,1.841467251494457,0.46896151614774706,2.15142138851286,24.16360471862309,4.953103848385226,21.277315799651905,6.761264745697157,23.97263585380004,1.5712628118352348,6.282633919938116,5.008702378650164,0.9838522529491394,2.4052407658093213
"0601","Alpes-Maritimes","01","1ère circonscription",81800,24731,30.23349633251834,57069,69.76650366748166,597,0.7298288508557458,1.0461020869473794,360,0.4400977995110024,0.6308153288124901,56112,68.59657701711491,98.32308258424013,166,972,14451,1052,11576,8204,12153,631,2447,3096,312,1052,0.20293398533007337,1.1882640586797066,17.66625916870416,1.2860635696821516,14.151589242053788,10.029339853300733,14.856968215158926,0.7713936430317848,2.991442542787286,3.7848410757946214,0.38141809290953543,1.2860635696821516,0.2958368976333048,1.7322497861420019,25.753849443969205,1.8748217850014257,20.630168234958653,14.620758483033933,21.65846877673225,1.1245366410037068,4.360921015112632,5.5175363558597095,0.5560307955517536,1.8748217850014257
"0602","Alpes-Maritimes","02","2ème circonscription",88918,22495,25.29858971186936,66423,74.70141028813063,932,1.0481567286713602,1.4031284344278336,359,0.40374277424143595,0.5404754377248845,65132,73.24951078521784,98.05639612784728,216,1156,14780,2076,18956,7771,11040,643,2954,3263,423,1854,0.2429204435547358,1.3000742256910862,16.622056276569424,2.334735374164961,21.318518185294316,8.73951280955487,12.415933781686498,0.7231381722485886,3.3221619919476373,3.6696731820328843,0.4757192019613577,2.0850671405114825,0.3316342197383775,1.7748572130442792,22.69237855432046,3.1873733341521833,29.103973469262424,11.931155192532088,16.950193453294848,0.9872259411656328,4.535405023644292,5.009826199103359,0.6494503469876558,2.8465270527544067
"0603","Alpes-Maritimes","03","3ème circonscription",90956,26607,29.252605655481773,64349,70.74739434451823,786,0.8641540964862131,1.221464203017918,345,0.3793042789920401,0.5361388677368724,63218,69.50393596903997,98.24239692924522,206,1160,15282,1233,15058,8519,13834,692,2689,2985,329,1231,0.22648313470249348,1.2753419235674393,16.80153041030828,1.3556005101367694,16.555257487136636,9.366067109371565,15.209551871234442,0.7608074233695413,2.9563745107524517,3.2818065878006943,0.3617133559083513,1.3534016447513084,0.32585655984055173,1.8349204340535923,24.173494890695686,1.9503938751621375,23.819165427568098,13.475592394571168,21.88300800404948,1.0946249485905912,4.253535385491474,4.721756461767218,0.5204213989686481,1.9472302192413555
