"CodeCirco","Département","NumeroCirco","Circonscription","Inscrits","Abstentions","Abstentions_ins","Votants","Votants_ins","Blancs","Blancs_ins","Blancs_vot","Nuls","Nuls_ins","Nuls_vot","Exprimés","Exprimés_ins","Exprimés_vot","MACRON","LE PEN","MACRON.ins","LE PEN.ins","MACRON.exp","LE PEN.exp"
"0301","Allier","01","1ère circonscription",89176,21776,24.419126222301966,67400,75.58087377769803,5000,5.606889746120032,7.418397626112759,2444,2.740647707903472,3.6261127596439167,59956,67.23333632367454,88.95548961424332,31443,28513,35.25948685745043,31.973849466224095,52.443458536259925,47.556541463740075
"0302","Allier","02","2ème circonscription",80749,20777,25.73034960185265,59972,74.26965039814735,4581,5.6731352710250285,7.638564663509638,2382,2.949881732281514,3.9718535316481023,53009,65.6466333948408,88.38958180484225,27000,26009,33.43694658757384,32.20968680726696,50.93474692976664,49.065253070233354
"0303","Allier","03","3ème circonscription",80029,19753,24.682302665283835,60276,75.31769733471616,4226,5.280585787651977,7.011082354502621,1609,2.0105211860700494,2.6693874842391665,54441,68.02659036099415,90.31953016125821,29202,25239,36.48927263866849,31.537317722325657,53.63972006392241,46.36027993607759
"0401","Alpes-de-Haute-Provence","01","1ère circonscription",61687,14903,24.159061066351097,46784,75.8409389336489,3798,6.156888809635742,8.118160054719564,1390,2.2533110704038126,2.97110123119015,41596,67.43073905360934,88.91073871409029,19262,22334,31.225379739653413,36.20535931395594,46.30733724396577,53.69266275603424
"0402","Alpes-de-Haute-Provence","02","2ème circonscription",66390,17004,25.612291007681883,49386,74.38770899231812,3850,5.799066124416328,7.795731583849674,1336,2.012351257719536,2.7052201028631595,44200,66.57629161018225,89.49904831328716,22395,21805,33.732489832806145,32.84380177737611,50.667420814479634,49.332579185520366
"0501","Hautes-Alpes","01","1ère circonscription",59505,14361,24.13410637761533,45144,75.86589362238468,3636,6.11041088984119,8.054226475279107,1215,2.0418452230904967,2.6913875598086126,40293,67.71363750945298,89.25438596491229,21467,18826,36.07596000336106,31.637677506091926,53.277244186335096,46.722755813664904
"0502","Hautes-Alpes","02","2ème circonscription",54035,12934,23.936337558989543,41101,76.06366244101046,3723,6.889978717497917,9.058173767061628,1016,1.8802627926344035,2.4719593197245806,36362,67.29342093087813,88.46986691321379,20742,15620,38.38623114647913,28.907189784399,57.04306693801221,42.95693306198779
"0601","Alpes-Maritimes","01","1ère circonscription",81797,26743,32.69435309363424,55054,67.30564690636575,2862,3.498905827842097,5.1985323500563085,1042,1.2738853503184715,1.8926871798597742,51150,62.53285572820519,92.90878047008391,29109,22041,35.586879714414955,26.945976013790236,56.90909090909091,43.09090909090909
"0602","Alpes-Maritimes","02","2ème circonscription",88958,23233,26.11681917309292,65725,73.88318082690708,3894,4.377346613008386,5.924686192468619,1169,1.3141032846961487,1.7786230505895777,60662,68.19173092920255,92.2966907569418,27972,32690,31.44405224937611,36.747678679826436,46.11123932610201,53.888760673898
"0603","Alpes-Maritimes","03","3ème circonscription",90960,28674,31.523746701846967,62286,68.47625329815304,3377,3.712620932277924,5.4217641203480715,1139,1.252198768689534,1.8286613364158881,57770,63.51143359718557,92.74957454323604,31203,26567,34.30408970976253,29.207343887423043,54.01246321620218,45.987536783797815
"0604","Alpes-Maritimes","04","4ème circonscription",85102,22800,26.791379756057438,62302,73.20862024394256,3144,3.6943902610984467,5.04638695386986,1195,1.4041973161617822,1.9180764662450642,57963,68.11003266668233,93.03553657988508,24665,33298,28.982867617682313,39.12716504900003,42.55300795334955,57.44699204665045
